IMDESC	ITMDSC	PRICCD	IMLIST	IMTCST	GROUP	IMSTYL	IMRANK	IMGEN	IMXRBC	AMNAME	ITEM	IMMCST
EXT PROTECTION DWNDFT/CKTP 2 YR	                                        	0	99	26	82	AB	7	90001399	                    	BEST BRANDS PLUS / MEGA GROUP 	3104SE2E                                	26
EXT PROTECTION DWNDFT/CKTP 3 YR	                                        	0	149	39	82	AB	7	90001406	                    	BEST BRANDS PLUS / MEGA GROUP 	3104SE3E                                	39
EXT PROTECTION DWNDFT/CKTP 5 YR	                                        	0	219	66	82	AB	7	90001414	                    	BEST BRANDS PLUS / MEGA GROUP 	3104SE5E                                	66
EXT PROTECTION HIGH END 4 YR   	                                        	0	219	70	82	AB	7	90001422	                    	BEST BRANDS PLUS / MEGA GROUP 	3104SF4G                                	70
EXT PROTECTION HIGH END 5 YR   	                                        	0	299	91	82	AB	7	90001430	                    	BEST BRANDS PLUS / MEGA GROUP 	3104SF5G                                	91
EXT PROTECTION HIGH END 4 YR   	                                        	0	379	88	82	AB	7	90001448	                    	BEST BRANDS PLUS / MEGA GROUP 	3104SF4H                                	88
EXT PROTECTION HIGH END 5 YR   	                                        	0	479	120	82	AB	7	90001456	                    	BEST BRANDS PLUS / MEGA GROUP 	3104SF5H                                	120
EXT PROTECTION D/W 2 YR        	                                        	0	89	20	82	AB	7	90001464	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RK2D                                	33.6
EXT PROTECTION D/W 3 YR        	                                        	0	109	31	82	AB	7	90001472	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RK3D                                	55.8
EXT PROTECTION D/W 5 YR        	                                        	0	179	53	82	AB	7	90001480	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RK5D                                	88.44
EXT PROTECTION DISPOSER 2 YR   	                                        	0	69	20	82	AB	7	90001498	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RL2D                                	20
